reaction_id,base_token,bridge_type,met_from,met_to,reaction_name,lower_bound,upper_bound,gene_reaction_rule,equation,action
TR_12ppd__S_ce,12ppd__S,ce,12ppd__S_e,12ppd__S_c,12ppd__S transport c<->e,-1000.0,1000.0,,12ppd__S_e <=> 12ppd__S_c,
TR_34dhcinm_ce,34dhcinm,ce,34dhcinm_e,34dhcinm_c,34dhcinm transport c<->e,-1000.0,1000.0,,34dhcinm_e <=> 34dhcinm_c,
TR_3hbz_ce,3hbz,ce,3hbz_e,3hbz_c,3hbz transport c<->e,-1000.0,1000.0,,3hbz_e <=> 3hbz_c,
TR_4abut_ce,4abut,ce,4abut_e,4abut_c,4abut transport c<->e,-1000.0,1000.0,,4abut_e <=> 4abut_c,
TR_4hbz_ce,4hbz,ce,4hbz_e,4hbz_c,4hbz transport c<->e,-1000.0,1000.0,,4hbz_e <=> 4hbz_c,
TR_4hbzf_ce,4hbzf,ce,4hbzf_e,4hbzf_c,4hbzf transport c<->e,-1000.0,1000.0,,4hbzf_e <=> 4hbzf_c,
TR_4hphac_ce,4hphac,ce,4hphac_e,4hphac_c,4hphac transport c<->e,-1000.0,1000.0,,4hphac_e <=> 4hphac_c,
TR_5dglcn_ce,5dglcn,ce,5dglcn_e,5dglcn_c,5dglcn transport c<->e,-1000.0,1000.0,,5dglcn_e <=> 5dglcn_c,
TR_T4hcinnm_ce,T4hcinnm,ce,T4hcinnm_e,T4hcinnm_c,T4hcinnm transport c<->e,-1000.0,1000.0,,T4hcinnm_e <=> T4hcinnm_c,
TR_ac_ce,ac,ce,ac_e,ac_c,ac transport c<->e,-1000.0,1000.0,,ac_e <=> ac_c,
TR_acac_ce,acac,ce,acac_e,acac_c,acac transport c<->e,-1000.0,1000.0,,acac_e <=> acac_c,
TR_acald_ce,acald,ce,acald_e,acald_c,acald transport c<->e,-1000.0,1000.0,,acald_e <=> acald_c,
TR_acglu_ce,acglu,ce,acglu_e,acglu_c,acglu transport c<->e,-1000.0,1000.0,,acglu_e <=> acglu_c,
TR_acmana_ce,acmana,ce,acmana_e,acmana_c,acmana transport c<->e,-1000.0,1000.0,,acmana_e <=> acmana_c,
TR_adocbl_ce,adocbl,ce,adocbl_e,adocbl_c,adocbl transport c<->e,-1000.0,1000.0,,adocbl_e <=> adocbl_c,
TR_akg_ce,akg,ce,akg_e,akg_c,akg transport c<->e,-1000.0,1000.0,,akg_e <=> akg_c,
TR_ala__D_ce,ala__D,ce,ala__D_e,ala__D_c,ala__D transport c<->e,-1000.0,1000.0,,ala__D_e <=> ala__D_c,
TR_ala__L_ce,ala__L,ce,ala__L_e,ala__L_c,ala__L transport c<->e,-1000.0,1000.0,,ala__L_e <=> ala__L_c,
TR_amp_ce,amp,ce,amp_e,amp_c,amp transport c<->e,-1000.0,1000.0,,amp_e <=> amp_c,
TR_anhgm_ce,anhgm,ce,anhgm_e,anhgm_c,anhgm transport c<->e,-1000.0,1000.0,,anhgm_e <=> anhgm_c,
TR_arab__L_ce,arab__L,ce,arab__L_e,arab__L_c,arab__L transport c<->e,-1000.0,1000.0,,arab__L_e <=> arab__L_c,
TR_arg__L_ce,arg__L,ce,arg__L_e,arg__L_c,arg__L transport c<->e,-1000.0,1000.0,,arg__L_e <=> arg__L_c,
TR_asn__L_ce,asn__L,ce,asn__L_e,asn__L_c,asn__L transport c<->e,-1000.0,1000.0,,asn__L_e <=> asn__L_c,
TR_aso3_ce,aso3,ce,aso3_e,aso3_c,aso3 transport c<->e,-1000.0,1000.0,,aso3_e <=> aso3_c,
TR_aso4_ce,aso4,ce,aso4_e,aso4_c,aso4 transport c<->e,-1000.0,1000.0,,aso4_e <=> aso4_c,
TR_asp__L_ce,asp__L,ce,asp__L_e,asp__L_c,asp__L transport c<->e,-1000.0,1000.0,,asp__L_e <=> asp__L_c,
TR_btoh_ce,btoh,ce,btoh_e,btoh_c,btoh transport c<->e,-1000.0,1000.0,,btoh_e <=> btoh_c,
TR_but_ce,but,ce,but_e,but_c,but transport c<->e,-1000.0,1000.0,,but_e <=> but_c,
TR_bz_ce,bz,ce,bz_e,bz_c,bz transport c<->e,-1000.0,1000.0,,bz_e <=> bz_c,
TR_bzf_ce,bzf,ce,bzf_e,bzf_c,bzf transport c<->e,-1000.0,1000.0,,bzf_e <=> bzf_c,
TR_cbi_ce,cbi,ce,cbi_e,cbi_c,cbi transport c<->e,-1000.0,1000.0,,cbi_e <=> cbi_c,
TR_cbl1_ce,cbl1,ce,cbl1_e,cbl1_c,cbl1 transport c<->e,-1000.0,1000.0,,cbl1_e <=> cbl1_c,
TR_cgly_ce,cgly,ce,cgly_e,cgly_c,cgly transport c<->e,-1000.0,1000.0,,cgly_e <=> cgly_c,
TR_cinnm_ce,cinnm,ce,cinnm_e,cinnm_c,cinnm transport c<->e,-1000.0,1000.0,,cinnm_e <=> cinnm_c,
TR_cit_ce,cit,ce,cit_e,cit_c,cit transport c<->e,-1000.0,1000.0,,cit_e <=> cit_c,
TR_citm_ce,citm,ce,citm_e,citm_c,citm transport c<->e,-1000.0,1000.0,,citm_e <=> citm_c,
TR_cl_ce,cl,ce,cl_e,cl_c,cl transport c<->e,-1000.0,1000.0,,cl_e <=> cl_c,
TR_cmp_ce,cmp,ce,cmp_e,cmp_c,cmp transport c<->e,-1000.0,1000.0,,cmp_e <=> cmp_c,
TR_co2_ce,co2,ce,co2_e,co2_c,co2 transport c<->e,-1000.0,1000.0,,co2_e <=> co2_c,
TR_cobalt2_ce,cobalt2,ce,cobalt2_e,cobalt2_c,cobalt2 transport c<->e,-1000.0,1000.0,,cobalt2_e <=> cobalt2_c,
TR_confrl_ce,confrl,ce,confrl_e,confrl_c,confrl transport c<->e,-1000.0,1000.0,,confrl_e <=> confrl_c,
TR_coucoa_ce,coucoa,ce,coucoa_e,coucoa_c,coucoa transport c<->e,-1000.0,1000.0,,coucoa_e <=> coucoa_c,
TR_damp_ce,damp,ce,damp_e,damp_c,damp transport c<->e,-1000.0,1000.0,,damp_e <=> damp_c,
TR_dca_ce,dca,ce,dca_e,dca_c,dca transport c<->e,-1000.0,1000.0,,dca_e <=> dca_c,
TR_dcmp_ce,dcmp,ce,dcmp_e,dcmp_c,dcmp transport c<->e,-1000.0,1000.0,,dcmp_e <=> dcmp_c,
TR_dgmp_ce,dgmp,ce,dgmp_e,dgmp_c,dgmp transport c<->e,-1000.0,1000.0,,dgmp_e <=> dgmp_c,
TR_dgsn_ce,dgsn,ce,dgsn_e,dgsn_c,dgsn transport c<->e,-1000.0,1000.0,,dgsn_e <=> dgsn_c,
TR_dha_ce,dha,ce,dha_e,dha_c,dha transport c<->e,-1000.0,1000.0,,dha_e <=> dha_c,
TR_dtmp_ce,dtmp,ce,dtmp_e,dtmp_c,dtmp transport c<->e,-1000.0,1000.0,,dtmp_e <=> dtmp_c,
TR_etha_ce,etha,ce,etha_e,etha_c,etha transport c<->e,-1000.0,1000.0,,etha_e <=> etha_c,
TR_etoh_ce,etoh,ce,etoh_e,etoh_c,etoh transport c<->e,-1000.0,1000.0,,etoh_e <=> etoh_c,
TR_f6p_ce,f6p,ce,f6p_e,f6p_c,f6p transport c<->e,-1000.0,1000.0,,f6p_e <=> f6p_c,
TR_fe2_ce,fe2,ce,fe2_e,fe2_c,fe2 transport c<->e,-1000.0,1000.0,,fe2_e <=> fe2_c,
TR_fe3_ce,fe3,ce,fe3_e,fe3_c,fe3 transport c<->e,-1000.0,1000.0,,fe3_e <=> fe3_c,
TR_fecrm_ce,fecrm,ce,fecrm_e,fecrm_c,fecrm transport c<->e,-1000.0,1000.0,,fecrm_e <=> fecrm_c,
TR_feoxam_ce,feoxam,ce,feoxam_e,feoxam_c,feoxam transport c<->e,-1000.0,1000.0,,feoxam_e <=> feoxam_c,
TR_fer_ce,fer,ce,fer_e,fer_c,fer transport c<->e,-1000.0,1000.0,,fer_e <=> fer_c,
TR_for_ce,for,ce,for_e,for_c,for transport c<->e,-1000.0,1000.0,,for_e <=> for_c,
TR_frmd_ce,frmd,ce,frmd_e,frmd_c,frmd transport c<->e,-1000.0,1000.0,,frmd_e <=> frmd_c,
TR_fru_ce,fru,ce,fru_e,fru_c,fru transport c<->e,-1000.0,1000.0,,fru_e <=> fru_c,
TR_fum_ce,fum,ce,fum_e,fum_c,fum transport c<->e,-1000.0,1000.0,,fum_e <=> fum_c,
TR_g1p_ce,g1p,ce,g1p_e,g1p_c,g1p transport c<->e,-1000.0,1000.0,,g1p_e <=> g1p_c,
TR_g3pc_ce,g3pc,ce,g3pc_e,g3pc_c,g3pc transport c<->e,-1000.0,1000.0,,g3pc_e <=> g3pc_c,
TR_g3pi_ce,g3pi,ce,g3pi_e,g3pi_c,g3pi transport c<->e,-1000.0,1000.0,,g3pi_e <=> g3pi_c,
TR_g3ps_ce,g3ps,ce,g3ps_e,g3ps_c,g3ps transport c<->e,-1000.0,1000.0,,g3ps_e <=> g3ps_c,
TR_g6p_ce,g6p,ce,g6p_e,g6p_c,g6p transport c<->e,-1000.0,1000.0,,g6p_e <=> g6p_c,
TR_gal_ce,gal,ce,gal_e,gal_c,gal transport c<->e,-1000.0,1000.0,,gal_e <=> gal_c,
TR_ghb_ce,ghb,ce,ghb_e,ghb_c,ghb transport c<->e,-1000.0,1000.0,,ghb_e <=> ghb_c,
TR_glcn_ce,glcn,ce,glcn_e,glcn_c,glcn transport c<->e,-1000.0,1000.0,,glcn_e <=> glcn_c,
TR_gln__L_ce,gln__L,ce,gln__L_e,gln__L_c,gln__L transport c<->e,-1000.0,1000.0,,gln__L_e <=> gln__L_c,
TR_glu__L_ce,glu__L,ce,glu__L_e,glu__L_c,glu__L transport c<->e,-1000.0,1000.0,,glu__L_e <=> glu__L_c,
TR_gly_ce,gly,ce,gly_e,gly_c,gly transport c<->e,-1000.0,1000.0,,gly_e <=> gly_c,
TR_glyb_ce,glyb,ce,glyb_e,glyb_c,glyb transport c<->e,-1000.0,1000.0,,glyb_e <=> glyb_c,
TR_glyc_ce,glyc,ce,glyc_e,glyc_c,glyc transport c<->e,-1000.0,1000.0,,glyc_e <=> glyc_c,
TR_glyc2p_ce,glyc2p,ce,glyc2p_e,glyc2p_c,glyc2p transport c<->e,-1000.0,1000.0,,glyc2p_e <=> glyc2p_c,
TR_glyc3p_ce,glyc3p,ce,glyc3p_e,glyc3p_c,glyc3p transport c<->e,-1000.0,1000.0,,glyc3p_e <=> glyc3p_c,
TR_glyclt_ce,glyclt,ce,glyclt_e,glyclt_c,glyclt transport c<->e,-1000.0,1000.0,,glyclt_e <=> glyclt_c,
TR_glycogen_ce,glycogen,ce,glycogen_e,glycogen_c,glycogen transport c<->e,-1000.0,1000.0,,glycogen_e <=> glycogen_c,
TR_gmp_ce,gmp,ce,gmp_e,gmp_c,gmp transport c<->e,-1000.0,1000.0,,gmp_e <=> gmp_c,
TR_gthox_ce,gthox,ce,gthox_e,gthox_c,gthox transport c<->e,-1000.0,1000.0,,gthox_e <=> gthox_c,
TR_gthrd_ce,gthrd,ce,gthrd_e,gthrd_c,gthrd transport c<->e,-1000.0,1000.0,,gthrd_e <=> gthrd_c,
TR_gua_ce,gua,ce,gua_e,gua_c,gua transport c<->e,-1000.0,1000.0,,gua_e <=> gua_c,
TR_h2_ce,h2,ce,h2_e,h2_c,h2 transport c<->e,-1000.0,1000.0,,h2_e <=> h2_c,
TR_h2o_ce,h2o,ce,h2o_e,h2o_c,h2o transport c<->e,-1000.0,1000.0,,h2o_e <=> h2o_c,
TR_h2o2_ce,h2o2,ce,h2o2_e,h2o2_c,h2o2 transport c<->e,-1000.0,1000.0,,h2o2_e <=> h2o2_c,
TR_h2s_ce,h2s,ce,h2s_e,h2s_c,h2s transport c<->e,-1000.0,1000.0,,h2s_e <=> h2s_c,
TR_hco3_ce,hco3,ce,hco3_e,hco3_c,hco3 transport c<->e,-1000.0,1000.0,,hco3_e <=> hco3_c,
TR_his__L_ce,his__L,ce,his__L_e,his__L_c,his__L transport c<->e,-1000.0,1000.0,,his__L_e <=> his__L_c,
TR_hpyr_ce,hpyr,ce,hpyr_e,hpyr_c,hpyr transport c<->e,-1000.0,1000.0,,hpyr_e <=> hpyr_c,
TR_hqn_ce,hqn,ce,hqn_e,hqn_c,hqn transport c<->e,-1000.0,1000.0,,hqn_e <=> hqn_c,
TR_hxa_ce,hxa,ce,hxa_e,hxa_c,hxa transport c<->e,-1000.0,1000.0,,hxa_e <=> hxa_c,
TR_hxan_ce,hxan,ce,hxan_e,hxan_c,hxan transport c<->e,-1000.0,1000.0,,hxan_e <=> hxan_c,
TR_id3acald_ce,id3acald,ce,id3acald_e,id3acald_c,id3acald transport c<->e,-1000.0,1000.0,,id3acald_e <=> id3acald_c,
TR_ile__L_ce,ile__L,ce,ile__L_e,ile__L_c,ile__L transport c<->e,-1000.0,1000.0,,ile__L_e <=> ile__L_c,
TR_imp_ce,imp,ce,imp_e,imp_c,imp transport c<->e,-1000.0,1000.0,,imp_e <=> imp_c,
TR_inost_ce,inost,ce,inost_e,inost_c,inost transport c<->e,-1000.0,1000.0,,inost_e <=> inost_c,
TR_ins_ce,ins,ce,ins_e,ins_c,ins transport c<->e,-1000.0,1000.0,,ins_e <=> ins_c,
TR_kdo2lipid4_ce,kdo2lipid4,ce,kdo2lipid4_e,kdo2lipid4_c,kdo2lipid4 transport c<->e,-1000.0,1000.0,,kdo2lipid4_e <=> kdo2lipid4_c,
TR_lac__L_ce,lac__L,ce,lac__L_e,lac__L_c,lac__L transport c<->e,-1000.0,1000.0,,lac__L_e <=> lac__L_c,
TR_leu__L_ce,leu__L,ce,leu__L_e,leu__L_c,leu__L transport c<->e,-1000.0,1000.0,,leu__L_e <=> leu__L_c,
TR_lipa_ce,lipa,ce,lipa_e,lipa_c,lipa transport c<->e,-1000.0,1000.0,,lipa_e <=> lipa_c,
TR_lys__L_ce,lys__L,ce,lys__L_e,lys__L_c,lys__L transport c<->e,-1000.0,1000.0,,lys__L_e <=> lys__L_c,
TR_mal__D_ce,mal__D,ce,mal__D_e,mal__D_c,mal__D transport c<->e,-1000.0,1000.0,,mal__D_e <=> mal__D_c,
TR_mal__L_ce,mal__L,ce,mal__L_e,mal__L_c,mal__L transport c<->e,-1000.0,1000.0,,mal__L_e <=> mal__L_c,
TR_malttr_ce,malttr,ce,malttr_e,malttr_c,malttr transport c<->e,-1000.0,1000.0,,malttr_e <=> malttr_c,
TR_man_ce,man,ce,man_e,man_c,man transport c<->e,-1000.0,1000.0,,man_e <=> man_c,
TR_mand_ce,mand,ce,mand_e,mand_c,mand transport c<->e,-1000.0,1000.0,,mand_e <=> mand_c,
TR_meoh_ce,meoh,ce,meoh_e,meoh_c,meoh transport c<->e,-1000.0,1000.0,,meoh_e <=> meoh_c,
TR_met__L_ce,met__L,ce,met__L_e,met__L_c,met__L transport c<->e,-1000.0,1000.0,,met__L_e <=> met__L_c,
TR_mn2_ce,mn2,ce,mn2_e,mn2_c,mn2 transport c<->e,-1000.0,1000.0,,mn2_e <=> mn2_c,
TR_mobd_ce,mobd,ce,mobd_e,mobd_c,mobd transport c<->e,-1000.0,1000.0,,mobd_e <=> mobd_c,
TR_n2_ce,n2,ce,n2_e,n2_c,n2 transport c<->e,-1000.0,1000.0,,n2_e <=> n2_c,
TR_nh4_ce,nh4,ce,nh4_e,nh4_c,nh4 transport c<->e,-1000.0,1000.0,,nh4_e <=> nh4_c,
TR_ni2_ce,ni2,ce,ni2_e,ni2_c,ni2 transport c<->e,-1000.0,1000.0,,ni2_e <=> ni2_c,
TR_nmn_ce,nmn,ce,nmn_e,nmn_c,nmn transport c<->e,-1000.0,1000.0,,nmn_e <=> nmn_c,
TR_no2_ce,no2,ce,no2_e,no2_c,no2 transport c<->e,-1000.0,1000.0,,no2_e <=> no2_c,
TR_o2_ce,o2,ce,o2_e,o2_c,o2 transport c<->e,-1000.0,1000.0,,o2_e <=> o2_c,
TR_octa_ce,octa,ce,octa_e,octa_c,octa transport c<->e,-1000.0,1000.0,,octa_e <=> octa_c,
TR_oxa_ce,oxa,ce,oxa_e,oxa_c,oxa transport c<->e,-1000.0,1000.0,,oxa_e <=> oxa_c,
TR_pac_ce,pac,ce,pac_e,pac_c,pac transport c<->e,-1000.0,1000.0,,pac_e <=> pac_c,
TR_pheme_ce,pheme,ce,pheme_e,pheme_c,pheme transport c<->e,-1000.0,1000.0,,pheme_e <=> pheme_c,
TR_ppa_ce,ppa,ce,ppa_e,ppa_c,ppa transport c<->e,-1000.0,1000.0,,ppa_e <=> ppa_c,
TR_pro__L_ce,pro__L,ce,pro__L_e,pro__L_c,pro__L transport c<->e,-1000.0,1000.0,,pro__L_e <=> pro__L_c,
TR_pyr_ce,pyr,ce,pyr_e,pyr_c,pyr transport c<->e,-1000.0,1000.0,,pyr_e <=> pyr_c,
TR_quin_ce,quin,ce,quin_e,quin_c,quin transport c<->e,-1000.0,1000.0,,quin_e <=> quin_c,
TR_s_ce,s,ce,s_e,s_c,s transport c<->e,-1000.0,1000.0,,s_e <=> s_c,
TR_ser__L_ce,ser__L,ce,ser__L_e,ser__L_c,ser__L transport c<->e,-1000.0,1000.0,,ser__L_e <=> ser__L_c,
TR_sheme_ce,sheme,ce,sheme_e,sheme_c,sheme transport c<->e,-1000.0,1000.0,,sheme_e <=> sheme_c,
TR_skm_ce,skm,ce,skm_e,skm_c,skm transport c<->e,-1000.0,1000.0,,skm_e <=> skm_c,
TR_so3_ce,so3,ce,so3_e,so3_c,so3 transport c<->e,-1000.0,1000.0,,so3_e <=> so3_c,
TR_so4_ce,so4,ce,so4_e,so4_c,so4 transport c<->e,-1000.0,1000.0,,so4_e <=> so4_c,
TR_spmd_ce,spmd,ce,spmd_e,spmd_c,spmd transport c<->e,-1000.0,1000.0,,spmd_e <=> spmd_c,
TR_sucr_ce,sucr,ce,sucr_e,sucr_c,sucr transport c<->e,-1000.0,1000.0,,sucr_e <=> sucr_c,
TR_tartr__D_ce,tartr__D,ce,tartr__D_e,tartr__D_c,tartr__D transport c<->e,-1000.0,1000.0,,tartr__D_e <=> tartr__D_c,
