reaction_id,enzyme_name,ec_number,kcat(1/s),km(mM),ref,dsm123_locus_tags,rnaseq_locus_tags,reference_organism,reversible,model_reaction_id,model_reaction_name,model_reaction_equation,model_metabolites
EX_for_e,ForT formate transporter,not applicable,,for_e: 0.01814 ,This study,,not used for direct transport Vmax,Rhodopseudomonas palustris DSM 123,yes,EX_for_e,R_EX_for_e,for_e <=>,for_e [Formate]
RBPCcx,Rubisco carboxylase/oxygenase mixed reaction,4.1.1.39,6.28,co2_c:0.446；rb15bp_c:0.0128 ,https://www.brenda-enzymes.org/literature.php?e=4.1.1.39&r=702278,ACXYSJ_06455;ACXYSJ_06460;ACXYSJ_21465,PGIDNB_06415;PGIDNB_06420;PGIDNB_18030;PGIDNB_21305,Rhodospirillum rubrum,no,RBPCcx,Ribulose-bisphosphate carboxylase,0.99 co2_c + 0.99 h2o_c + 0.01 o2_c + rb15bp_c => 0.01 2pglyc_c + 1.99 3pg_c + 2 h_c,"2pglyc_c [2-Phosphoglycolate]; 3pg_c [3-Phospho-D-glycerate]; co2_c [CO2 CO2]; h2o_c [H2O H2O]; h_c [H+]; o2_c [O2 O2]; rb15bp_c [D-Ribulose 1,5-bisphosphate]"
FDH,Formate dehydrogenase,1.17.1.9,33.76,for_c: 0.38126,This study,ACXYSJ_01120;ACXYSJ_23615;ACXYSJ_23620;ACXYSJ_23610;ACXYSJ_23605;ACXYSJ_23600,PGIDNB_23465;PGIDNB_23470;PGIDNB_23475;PGIDNB_23480;PGIDNB_23485,Rhodopseudomonas palustris DSM 123; RpFDH measured in this study,no,FDH,Formate dehydrogenase,for_c + nad_c => co2_c + nadh_c,co2_c [CO2 CO2]; for_c [Formate]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]
RPE,Ribulose-phosphate 3-epimerase,5.1.3.1,100,ru5p__D_c: 0.2 ,https://www.brenda-enzymes.org/literature.php?e=5.1.3.1&r=672127,ACXYSJ_16955,PGIDNB_16830,Streptococcus pyogenes,yes,RPE,Ribulose 5-phosphate 3-epimerase,ru5p__D_c <=> xu5p__D_c,ru5p__D_c [D-Ribulose 5-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
FBA,Fructose-bisphosphate aldolase,4.1.2.13,10.5,fdp_c: 0.17 ,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=652876,ACXYSJ_21470,PGIDNB_21310,Escherichia coli,yes,FBA,Fructose-bisphosphate aldolase,fdp_c <=> dhap_c + g3p_c,"dhap_c [Dihydroxyacetone phosphate]; fdp_c [D-Fructose 1,6-bisphosphate]; g3p_c [Glyceraldehyde 3-phosphate]"
FBA3,Sedoheptulose-bisphosphate aldolase activity,4.1.2.13,0.055,s17bp_c: 0.19 ；fdp_c：0.018；dhap_c：0.095；g3p_c：1.17,https://www.brenda-enzymes.org/literature.php?e=4.1.2.13&r=714279,ACXYSJ_03295,PGIDNB_03300,Methylococcus capsulatus,yes,FBA3,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",s17bp_c <=> dhap_c + e4p_c,"dhap_c [Dihydroxyacetone phosphate]; e4p_c [D-Erythrose 4-phosphate]; s17bp_c [Sedoheptulose 1,7-bisphosphate]"
PGK,Phosphoglycerate kinase,2.7.2.3,149.8,3pg_c: 0.75 ; atp_c: 0.73 ,https://www.brenda-enzymes.org/literature.php?e=2.7.2.3&r=642281,ACXYSJ_03310,PGIDNB_03315,Methanobacterium bryantii; Methanothermus fervidus; Pyrococcus woesei,no,PGK,Phosphoglycerate kinase,3pg_c + atp_c => 13dpg_c + adp_c,13dpg_c [3-Phospho-D-glyceroyl phosphate]; 3pg_c [3-Phospho-D-glycerate]; adp_c [ADP C10H12N5O10P2]; atp_c [ATP C10H12N5O13P3]
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,1.2.1.12,6.45,13dpg_c: NA; nadh_c: 0.048 ,https://www.brenda-enzymes.org/literature.php?e=1.2.1.12&r=743222,ACXYSJ_03320,PGIDNB_03325,Corynebacterium glutamicum ATCC 13032,no,GAPD,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c => 13dpg_c + h_c + nadh_c,13dpg_c [3-Phospho-D-glyceroyl phosphate]; g3p_c [Glyceraldehyde 3-phosphate]; h_c [H+]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]; pi_c [Phosphate]
TKT1,Transketolase,2.2.1.1,40,r5p_c: 0.12 ; xu5p__D_c: 0.12 ；f6p_c：0.25；g3p_c：0.67,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=735856,ACXYSJ_21475;ACXYSJ_03325,PGIDNB_03330;PGIDNB_21315,Bacillus methanolicus MGA3,yes,TKT1,Transketolase,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,g3p_c [Glyceraldehyde 3-phosphate]; r5p_c [Alpha-D-Ribose 5-phosphate]; s7p_c [Sedoheptulose 7-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
TKT2,Transketolase,2.2.1.1,671,e4p_c: 0.23 ; xu5p__D_c: 0.058 ,https://www.brenda-enzymes.org/literature.php?e=2.2.1.1&r=757197,ACXYSJ_21475;ACXYSJ_03325,PGIDNB_03330;PGIDNB_21315,Salmonella enterica subsp. enterica serovar Typhimurium ATCC 14028s,yes,TKT2,Transketolase,e4p_c + xu5p__D_c <=> f6p_c + g3p_c,e4p_c [D-Erythrose 4-phosphate]; f6p_c [D-Fructose 6-phosphate]; g3p_c [Glyceraldehyde 3-phosphate]; xu5p__D_c [D-Xylulose 5-phosphate]
TALA,Transaldolase,2.2.1.2,13,g3p_c: 1.9 ,https://www.brenda-enzymes.org/literature.php?e=2.2.1.2&r=719298,ACXYSJ_07555,PGIDNB_07505,Escherichia coli,yes,TALA,Transaldolase,g3p_c + s7p_c <=> e4p_c + f6p_c,e4p_c [D-Erythrose 4-phosphate]; f6p_c [D-Fructose 6-phosphate]; g3p_c [Glyceraldehyde 3-phosphate]; s7p_c [Sedoheptulose 7-phosphate]
SBP,Sedoheptulose-bisphosphatase,3.1.3.37,4.2,s17bp_c: 0.024 ,https://www.brenda-enzymes.org/literature.php?e=3.1.3.37&r=729720,ACXYSJ_13375,PGIDNB_13255,Synechocystis sp.,yes,SBP,Sedoheptulose-bisphosphatase,h2o_c + s17bp_c <=> pi_c + s7p_c,"h2o_c [H2O H2O]; pi_c [Phosphate]; s17bp_c [Sedoheptulose 1,7-bisphosphate]; s7p_c [Sedoheptulose 7-phosphate]"
FBP,Fructose-bisphosphatase,3.1.3.11,10.5,fdp_c: 0.08 ,https://www.brenda-enzymes.org/literature.php?e=3.1.3.11&r=729720,ACXYSJ_13375,PGIDNB_13255,Synechocystis sp.,no,FBP,Fructose-bisphosphatase,fdp_c + h2o_c => f6p_c + pi_c,"f6p_c [D-Fructose 6-phosphate]; fdp_c [D-Fructose 1,6-bisphosphate]; h2o_c [H2O H2O]; pi_c [Phosphate]"
TPI,triose-phosphate isomerase,5.3.1.1,1470,g3p_c:3.46 ,https://www.brenda-enzymes.org/literature.php?e=5.3.1.1&r=682773,ACXYSJ_11435,,Helicobacter pylori,yes,TPI,Triose-phosphate isomerase,dhap_c <=> g3p_c,dhap_c [Dihydroxyacetone phosphate]; g3p_c [Glyceraldehyde 3-phosphate]
PRK,phosphoribulokinase,2.7.1.19,NA,ru5p__D_c: 0.056 ；atp_c: 0.062 ,https://www.brenda-enzymes.org/literature.php?e=2.7.1.19&r=641016,ACXYSJ_21480,,Chlamydomonas reinhardtii,yes,PRUK,Phosphoribulokinase,atp_c + ru5p__D_c <=> adp_c + h_c + rb15bp_c,"adp_c [ADP C10H12N5O10P2]; atp_c [ATP C10H12N5O13P3]; h_c [H+]; rb15bp_c [D-Ribulose 1,5-bisphosphate]; ru5p__D_c [D-Ribulose 5-phosphate]"
PGK,Phosphoglycerate kinase,1.1.1.95,akg_c：2.1；3php_c：3.1,3php_c：0.068；akg_c：0.45,https://www.brenda-enzymes.org/literature.php?e=1.1.1.95&r=762672,,,Escherichia coli K-12; Mycobacterium tuberculosis H37Rv,unknown,PGK,,,
PGM,Phosphoglycerate mutase,5.4.2.12,3pg_c:1.51 ；2pg_c:2.04,2pg_c：0.26；3pg_c：0.04,https://www.brenda-enzymes.org/literature.php?e=5.4.2.12&r=734842,ACXYSJ_20105,,Saccharolobus solfataricus DSM 1617,yes,PGM,Phosphoglycerate mutase,2pg_c <=> 3pg_c,2pg_c [D-Glycerate 2-phosphate]; 3pg_c [3-Phospho-D-glycerate]
ENO,Phosphopyruvate hydratase / Enolase,4.2.1.11,pep_c：31.4；2pg_c：50,2pg_c：0.06；pep_c：0.538,https://www.brenda-enzymes.org/literature.php?e=4.2.1.11&r=734842,ACXYSJ_11485,,Saccharolobus solfataricus DSM 1617,yes,ENO,Enolase,2pg_c <=> h2o_c + pep_c,2pg_c [D-Glycerate 2-phosphate]; h2o_c [H2O H2O]; pep_c [Phosphoenolpyruvate]
PYK,Pyruvate kinase,2.7.1.40,5.58,pep_c：4.58；adp_c：0.07,https://www.brenda-enzymes.org/literature.php?e=2.7.1.40&r=760784,ACXYSJ_19660;ACXYSJ_14365,,Corynebacterium glutamicum (including ATCC 13032),no,PYK,Pyruvate kinase,adp_c + h_c + pep_c => atp_c + pyr_c,adp_c [ADP C10H12N5O10P2]; atp_c [ATP C10H12N5O13P3]; h_c [H+]; pep_c [Phosphoenolpyruvate]; pyr_c [Pyruvate]
CS,Citrate synthase,2.3.3.1,123.4,accoa_c: 0.0478 ; oaa_c: 0.0077 ,https://www.brenda-enzymes.org/literature.php?e=2.3.3.1&r=778981,ACXYSJ_11345,PGIDNB_11270,Cyanidioschyzon merolae NIES-3377,no,CS,Citrate synthase,accoa_c + h2o_c + oaa_c => cit_c + coa_c + h_c,accoa_c [Acetyl-CoA]; cit_c [Citrate]; coa_c [Coenzyme A]; h2o_c [H2O H2O]; h_c [H+]; oaa_c [Oxaloacetate]
ACONT,Aconitate hydratase,4.2.1.3,7.28,cit_c: 0.68 ; icit_c: 0.36 ,https://www.brenda-enzymes.org/literature.php?e=4.2.1.3&r=775849,ACXYSJ_24245;ACXYSJ_24275,PGIDNB_24115;PGIDNB_24145,Cyanidioschyzon merolae NIES-3377,yes,ACONT,Aconitate hydratase,cit_c <=> icit_c,cit_c [Citrate]; icit_c [Isocitrate]
ICDHyr,Isocitrate dehydrogenase (NADP),1.1.1.42,51.8,icit_c: 0.0242 ; nadp_c: 0.0121 ,https://www.brenda-enzymes.org/literature.php?e=1.1.1.42&r=761403,ACXYSJ_24345,PGIDNB_24220,Escherichia coli,no,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c => akg_c + co2_c + nadph_c,akg_c [2-Oxoglutarate]; co2_c [CO2 CO2]; icit_c [Isocitrate]; nadp_c [Nicotinamide adenine dinucleotide phosphate]; nadph_c [Nicotinamide adenine dinucleotide phosphate - reduced]
AKGDH,2-oxoglutarate dehydrogenase complex,1.2.4.2,0.152,akg_c: 0.006 ,https://www.brenda-enzymes.org/literature.php?e=1.2.4.2&r=762591,ACXYSJ_24040;ACXYSJ_11530;ACXYSJ_24015,PGIDNB_11455;PGIDNB_23875;PGIDNB_23900,Escherichia coli,no,AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c => co2_c + nadh_c + succoa_c,akg_c [2-Oxoglutarate]; co2_c [CO2 CO2]; coa_c [Coenzyme A]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]; succoa_c [Succinyl-CoA]
SUCOAS,Succinate-CoA ligase,6.2.1.5,14.3,succ_c: 0.141 ; atp_c: 0.055 ;coa_c:0.058;,https://www.brenda-enzymes.org/literature.php?e=6.2.1.5&r=726747,ACXYSJ_24075;ACXYSJ_24090,PGIDNB_23935;PGIDNB_23950,Advenella mimigardefordensis DPN7; Alcanivorax borkumensis SK2; Escherichia coli K-12,yes,SUCOAS,Succinyl-CoA synthetase (ADP-forming),atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,adp_c [ADP C10H12N5O10P2]; atp_c [ATP C10H12N5O13P3]; coa_c [Coenzyme A]; pi_c [Phosphate]; succ_c [Succinate]; succoa_c [Succinyl-CoA]
SUCDi,Succinate dehydrogenase,1.3.5.1,succ_c:30;fum_c:250,succ_c: 0.55 ;fum_c:0.02,https://www.brenda-enzymes.org/literature.php?e=1.3.5.1&r=674532,ACXYSJ_24375;ACXYSJ_24370;ACXYSJ_12470;ACXYSJ_24385,PGIDNB_12385;PGIDNB_24245;PGIDNB_24250;PGIDNB_24260,Escherichia coli,no,SUCDi,Succinate dehydrogenase (irreversible),q8_c + succ_c => fum_c + q8h2_c,fum_c [Fumarate]; q8_c [Ubiquinone-8]; q8h2_c [Ubiquinol-8]; succ_c [Succinate]
FUM,Fumarase,4.2.1.2,52,fum_c: 0.094 ; mal__L_c: 0.2 ,https://www.brenda-enzymes.org/literature.php?e=4.2.1.2&r=749072,ACXYSJ_17280,PGIDNB_17160,Escherichia coli (including K-12 and O157:H7 strains),yes,FUM,Fumarase,fum_c + h2o_c <=> mal__L_c,fum_c [Fumarate]; h2o_c [H2O H2O]; mal__L_c [L-Malate]
MDH,Malate dehydrogenase,1.1.1.37,0.71,oaa_c: 0.012 ; nadh_c: 0.03 ；nad_c：0.58；mal__L_c：2.6,https://www.brenda-enzymes.org/literature.php?e=1.1.1.37&r=761185,ACXYSJ_24095,PGIDNB_23955,Synechocystis sp. PCC 6803,yes,MDH,Malate dehydrogenase,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,h_c [H+]; mal__L_c [L-Malate]; nad_c [Nicotinamide adenine dinucleotide]; nadh_c [Nicotinamide adenine dinucleotide - reduced]; oaa_c [Oxaloacetate]
ME2,NADP-dependent malic enzyme,1.1.1.40,0.3,mal__L_c: 2.7 ; nadp_c: 0.064 ；nadph_c：0.047；pyr_c：6,https://www.brenda-enzymes.org/literature.php?e=1.1.1.40&r=760547,ACXYSJ_10825,PGIDNB_10740,Methylosinus trichosporium,yes,ME2,Malic enzyme (NADP),mal__L_c + nadp_c <=> co2_c + nadph_c + pyr_c,co2_c [CO2 CO2]; mal__L_c [L-Malate]; nadp_c [Nicotinamide adenine dinucleotide phosphate]; nadph_c [Nicotinamide adenine dinucleotide phosphate - reduced]; pyr_c [Pyruvate]
