Reaction,Genes
2HPTCOAT,"RPE_RS04965,RPE_RS14350"
6D6SFK,RPE_RS24065
ACALD,RPE_RS18485
ACGAMT,RPE_RS21070
ADCS,RPE_RS22200
ADHEr,"RPE_RS18485,RPE_RS16055"
ADNCYC,RPE_RS04505
ADOCBLS,RPE_RS19240
ADPRDP,RPE_RS18805
ADPT2,RPE_RS22200
AHMMPS,RPE_RS10280
ALAALAr,RPE_RS10605
ALAt2pp,"RPE_RS05030,RPE_RS05035,RPE_RS02965"
ALDD3y,RPE_RS21155
AMALT1,RPE_RS18595
AMALT2,RPE_RS18595
AMALT3,RPE_RS18595
AMALT4,RPE_RS18595
AMMQT8,RPE_RS15240
APH140,RPE_RS17230
APH160,RPE_RS17230
APH180,RPE_RS17230
ASNS1,RPE_RS02905
ASNS2,RPE_RS02905
BPNT,RPE_RS21415
C12HR,RPE_RS06655
CA2abcpp,RPE_RS20465
CAt4,RPE_RS20465
CBL1tonex,"RPE_RS15780,RPE_RS15785,RPE_RS15775"
CD2abc1,RPE_RS19390
CHOLD,RPE_RS18485
CITCIb,"RPE_RS01670,RPE_RS01610"
CITL,"RPE_RS17190,RPE_RS17185,RPE_RS17180"
COBALT2abcpp,RPE_RS11195
COLIPAabcpp,RPE_RS07280
CYANSTpp,RPE_RS06345
CYO1b2_syn,"RPE_RS19340,RPE_RS19335"
CYO1bpp_syn,"RPE_RS19340,RPE_RS19335"
CYOO2pp,"RPE_RS03115,RPE_RS23760,RPE_RS23735,RPE_RS19340,RPE_RS23740,RPE_RS19335"
CYSS,RPE_RS18150
CYSS_2,RPE_RS18150
DALAabcpp,"RPE_RS05030,RPE_RS05035,RPE_RS02965"
DESAT16a,RPE_RS08175
DHFR,RPE_RS10920
DMSOR1pp,RPE_RS20710
DMSOR2pp,RPE_RS20710
DNMPPA,RPE_RS17300
DRBK,RPE_RS24065
DUTPDP,RPE_RS17300
ETHAAL,"RPE_RS09100,RPE_RS09090"
ETHSO3abcpp,"RPE_RS16005,RPE_RS15995,RPE_RS16010"
FACOAL40It2pp,RPE_RS02895
FACOAL40t2pp,RPE_RS02895
FACOAL50It2pp,RPE_RS02895
FADRx,RPE_RS16015
FDH4pp,RPE_RS06360
FDH5pp,RPE_RS06360
FDMO1,RPE_RS16000
FDMO2,RPE_RS16000
FDMO2_1,RPE_RS16000
FDMO3,RPE_RS16000
FDMO3_1,RPE_RS16000
FDMO4,RPE_RS16000
FDMO4_1,RPE_RS16000
FDMO5_1,RPE_RS16000
FDMO6,RPE_RS16000
FDMO6_1,RPE_RS16000
FDMO_1,RPE_RS16000
FDMOtau,RPE_RS16000
FE3HOXabcpp,"RPE_RS15780,RPE_RS15785,RPE_RS15775"
FEENTER2tpp,RPE_RS17585
FLDR2,"RPE_RS15510,RPE_RS19060"
FNOR_1,RPE_RS06360
FOLR2,RPE_RS10920
FORt2pp,RPE_RS02770
FORtppi,RPE_RS02770
FTHFCL,RPE_RS23860
G1PCTYT,RPE_RS21250
G1PTT,RPE_RS21225
G3PT,RPE_RS18585
GCALDD,RPE_RS19460
GLCDBRAN3,"RPE_RS06400,RPE_RS06430"
GLUK_syn,RPE_RS23070
GLYALDDy,RPE_RS10455
GLYCK,RPE_RS18620
GLYCK2,RPE_RS18620
GLYCL,"RPE_RS07645,RPE_RS08025,RPE_RS08020"
GM1LIPAabcpp,RPE_RS07280
GTHPi,RPE_RS12030
GTPH1,RPE_RS18680
HACD8i,"RPE_RS06055,RPE_RS16160"
HEX1,RPE_RS23070
HKNDDH,"RPE_RS24735,RPE_RS18230"
HKNTDH,"RPE_RS24735,RPE_RS18230"
HNPSYN,RPE_RS06655
HPACOAT,RPE_RS05015
HXAND,"RPE_RS16100,RPE_RS16105,RPE_RS16110"
I4FE4SR,RPE_RS22585
IPPMIa,"RPE_RS01670,RPE_RS01610"
IPPMIb,"RPE_RS01670,RPE_RS01610"
ISETACabcpp,"RPE_RS16000,RPE_RS15995,RPE_RS16005,RPE_RS16010"
K2L4Aabcpp,RPE_RS07280
LCARSyi,RPE_RS10455
LCLY,RPE_RS06655
MAN1PT2,"RPE_RS21340,RPE_RS17505"
MCITL2,RPE_RS15895
MCOATA,RPE_RS21280
MEPNabcpp,"RPE_RS15630,RPE_RS15625,RPE_RS15620,RPE_RS15635"
METDabcpp,"RPE_RS15950,RPE_RS15935,RPE_RS15955,RPE_RS15945"
METabc,"RPE_RS15950,RPE_RS15955,RPE_RS15945"
MNabc,"RPE_RS14265,RPE_RS14270,RPE_RS14260,RPE_RS14255"
MOGDS,RPE_RS05180
MOTH1,RPE_RS06430
MOTH2,RPE_RS06430
MOTH3,RPE_RS06430
MOTH4,RPE_RS06430
MSO3abcpp,"RPE_RS16005,RPE_RS15995,RPE_RS16010"
NADFADOR,"RPE_RS13050,RPE_RS15525,RPE_RS19060"
NADH16pp,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NADH17pp,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NADH18pp,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NAR_syn,RPE_RS06370
NDH1_1p,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NDH1_2p,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NDH1_4pp,"RPE_RS08625,RPE_RS08650,RPE_RS08615,RPE_RS08610,RPE_RS08640,RPE_RS08630,RPE_RS08635,RPE_RS08665,RPE_RS08645,RPE_RS08655,RPE_RS08605,RPE_RS08620,RPE_RS08660"
NIT1b,"RPE_RS19395,RPE_RS22685,RPE_RS19415,RPE_RS19420,RPE_RS19410,RPE_RS19425"
NIT1b_1,"RPE_RS15975,RPE_RS15980,RPE_RS15985"
NO3R2bpp,"RPE_RS23225,RPE_RS20710"
NODOx,RPE_RS06380
NODOy,RPE_RS06380
NOFCOR,RPE_RS03100
NTPP2,RPE_RS17300
NTRARf2,RPE_RS06370
NTRIR2x,RPE_RS06375
NTRIRfx,RPE_RS06370
NTRNO,RPE_RS03105
OANTS,RPE_RS24645
OBTFL,"RPE_RS15565,RPE_RS15570"
OCTDPS,RPE_RS15565
PA120abcpp,RPE_RS07280
PA161abcpp,RPE_RS07280
PA180abcpp,RPE_RS07280
PA181abcpp,RPE_RS07280
PACOAT,RPE_RS05015
PC,"RPE_RS17240,RPE_RS03170,RPE_RS11935"
PE120abcpp,RPE_RS07280
PE141abcpp,RPE_RS07280
PE161abcpp,RPE_RS07280
PE180abcpp,RPE_RS07280
PFK,RPE_RS03850
PFL,"RPE_RS15565,RPE_RS15570"
PG141abcpp,RPE_RS07280
PG160abcpp,RPE_RS07280
PGP141abcpp,RPE_RS07280
PGP161abcpp,RPE_RS07280
PGP181abcpp,RPE_RS07280
POR5,"RPE_RS15510,RPE_RS03835"
POX,RPE_RS25155
PPA2,RPE_RS23265
PPAKr,"RPE_RS19310,RPE_RS15855"
PPDOy,RPE_RS10455
PPK2,RPE_RS15275
PPK2r,"RPE_RS16455,RPE_RS11060"
PPKr,RPE_RS11060
PRE3BS,RPE_RS11180
PSICSum,"RPE_RS06715,RPE_RS06720,RPE_RS06705,RPE_RS06815,RPE_RS06820,RPE_RS06710,RPE_RS24995"
PSIICSum,"RPE_RS06715,RPE_RS06720,RPE_RS06705,RPE_RS06815,RPE_RS06820,RPE_RS06710,RPE_RS24995"
PSIIum,"RPE_RS06715,RPE_RS06720,RPE_RS06705,RPE_RS06815,RPE_RS06820,RPE_RS06710,RPE_RS24995"
PSIum,"RPE_RS06715,RPE_RS06720,RPE_RS06705,RPE_RS06815,RPE_RS06820,RPE_RS06710,RPE_RS24995"
PTA2,RPE_RS19315
QUINtex,RPE_RS18365
R05219,RPE_RS11190
R05224_1,RPE_RS10975
RNTR1c2,RPE_RS15510
RNTR2c2,RPE_RS15510
RNTR3c2,RPE_RS15510
RNTR4c2,RPE_RS15510
RZ5PP,RPE_RS19235
S2FE2SR,"RPE_RS14900,RPE_RS14910,RPE_RS14895,RPE_RS14880,RPE_RS14890,RPE_RS14885"
S2FE2SS,"RPE_RS14900,RPE_RS14910,RPE_RS14895,RPE_RS14880,RPE_RS14890,RPE_RS14885"
S2FE2SS2,"RPE_RS14900,RPE_RS14910,RPE_RS14895,RPE_RS14880,RPE_RS14890,RPE_RS14885"
SADT2,"RPE_RS08860,RPE_RS01675"
SALCHS4abcpp,RPE_RS17585
SCYSDS,"RPE_RS14895,RPE_RS14890"
SERAT,RPE_RS15960
SFGTHi,RPE_RS23395
SPMDt3pp,"RPE_RS22510,RPE_RS15295"
SQLC,RPE_RS22310
SUCBZT1,RPE_RS19155
SUCBZT2,RPE_RS19155
SUCOAS,"RPE_RS16050,RPE_RS16045"
SULFACabcpp,"RPE_RS16005,RPE_RS15995,RPE_RS16010"
SULR_2,RPE_RS25295
SULabc,"RPE_RS08845,RPE_RS08840,RPE_RS19285,RPE_RS08850"
TDPAGTA,RPE_RS07645
TDPGDH,RPE_RS17545
TDSK,RPE_RS04440
THBTGT,"RPE_RS05810,RPE_RS04050"
THRPDC,RPE_RS11240
THRt2pp,RPE_RS21355
TMAOR1pp,RPE_RS20710
TMAOR2pp,RPE_RS20710
TMDS,"RPE_RS10775,RPE_RS10905"
TMDS3,RPE_RS10775
TRDR,RPE_RS22440
TRPTA,RPE_RS19440
TSULabc,"RPE_RS08850,RPE_RS08845,RPE_RS08890,RPE_RS08840,RPE_RS19285"
U23GAAT,RPE_RS12980
UPP3S,RPE_RS21085
VALtex,"RPE_RS05030,RPE_RS05035,RPE_RS02965"
